Zoledronic acid Fresenius Kabi;Acidum zoledronicum;Ludzki;;;4 mg/5 ml;Koncentrat do sporządzania roztworu do infuzji;Acidum zoledronicum 4 mg/5 ml
Edelan;Mometasoni furoas;Ludzki;;;1 mg/g;Krem;Mometasoni furoas 1 mg/g
Nalgesin;Naproxenum natricum;Ludzki;;;275 mg;Tabletki powlekane;Naproxenum natricum 275 mg
Nalgesin Forte;Naproxenum natricum;Ludzki;;;550 mg;Tabletki powlekane;Naproxenum natricum 550 mg
Diprobase;-;Ludzki;;;-;Krem;
Amlozek;Amlodipinum;Ludzki;;;10 mg;Tabletki;Amlodipini besilas 10 mg
Proxacin 1%;Ciprofloxacinum;Ludzki;;;10 mg/ml;Koncentrat do sporządzania roztworu do infuzji;Ciprofloxacinum 100 mg
Aprovel;Irbesartanum;Ludzki;;;150 mg;Tabletki;Irbesartanum 150 mg
Twinrix Adult;Vaccinum hepatitidis A inactivatum et hepatitidis B (ADNr)  adsorbatum;Ludzki;;;;Zawiesina do wstrzykiwań;Vaccinum Hepatits A+B 1 ml (1 dawka)
AmBisome liposomal;Amphotericinum B;Ludzki;;;50 mg;Proszek do sporządzania dyspersji do infuzji;Amphotericinum B 50 mg
Indapen SR;Indapamidum;Ludzki;;;1,5 mg;Tabletki o przedłużonym uwalnianiu;Indapamidum 1.54 mg
Xyrem;Natrii hydroxybutyras;Ludzki;;;500 mg/ml;Roztwór doustny;Natrii hydroxybutyras 500 mg/ml
Rulid;Roxithromycinum;Ludzki;;;50 mg;Tabletki do sporządzania zawiesiny doustnej;Roxithromycinum 50 mg
Zerit;Stavudinum;Ludzki;;;20 mg;Kapsułki twarde;Stavudinum 20 mg
Filgrastim Hexal;Filgrastimum;Ludzki;;;30 mln j.m./0,5 ml (60 mln j.m./ml);Roztwór do wstrzykiwań lub infuzji;Filgrastimum 30 mln j./ 0,5 ml
Exelon;Rivastigminum;Ludzki;;;6 mg;Kapsułki twarde;Rivastigminum 6 mg
Ursopol;Acidum ursodeoxycholicum;Ludzki;;;300 mg;Kapsułki twarde;Acidum ursodeoxycholicum 300 mg
Bronchicum T;Thymi extractum fluidum;Ludzki;;;100 mg;Tabletki do ssania;Thymi extractum fluidum 100 mg
Arthryl Fast;Glucosamini sulfas + Lidocaini hydrochloridum;Ludzki;;;(400 mg + 10 mg)/2 ml;Roztwór do wstrzykiwań;Glucosamini sulfas 400 mg/2 ml + Lidocaini hydrochloridum 10 mg/2 ml
NovoNorm;Repaglinidum;Ludzki;;;0,5 mg;Tabletki;Repaglinidum 0.5 mg
Flegamina Classic Junior o smaku truskawkowym;Bromhexini hydrochloridum;Ludzki;"Flegamina Junior o smaku truskawkowym 
Flegamina o smaku truskawkowym";;2 mg/5 ml;Syrop;Bromhexini hydrochloridum 40 mg
Neomycinum Jelfa;Neomycini sulfas;Ludzki;;;5 mg/g;Maść do oczu;Neomycini sulfas 5 mg/g
Citocartin 100;Articaini hydrochloridum + Adrenalinum;Ludzki;;;(40 mg + 10 mcg)/ml;Roztwór do wstrzykiwań;Articaini hydrochloridum 40 mg + Adrenalinum 10 mcg
Lacipil;Lacidipinum;Ludzki;;;6 mg;Tabletki powlekane;Lacidipinum 6 mg
Loratadyna Galena;Loratadinum;Ludzki;;;10 mg;Tabletki;Loratadinum 10 mg
Sortis 20;Atorvastatinum;Ludzki;;;20 mg;Tabletki powlekane;Atorvastatinum calcicum 21.7 mg
Tramal Retard 200;Tramadoli hydrochloridum;Ludzki;;;200 mg;Tabletki o przedłużonym uwalnianiu;Tramadoli hydrochloridum 200 mg
Imovane;Zopiclonum;Ludzki;;;7,5 mg;Tabletki powlekane;Zopiclonum 7.5 mg
Xanax SR;Alprazolamum;Ludzki;;;0,5 mg;Tabletki o przedłużonym uwalnianiu;Alprazolamum 0.5 mg
Zerit;Stavudinum;Ludzki;;;200 mg1 mg/ml;Proszek do sporządzania zawiesiny doustnej;Stavudinum 1 mg
Veral;Diclofenacum natricum;Ludzki;;;10 mg/g (1%);Żel;Diclofenacum natricum 0.01 g/1 g
Ifapidin;Ticlopidinum;Ludzki;;;250 mg;Tabletki powlekane;Ticlopidini hydrochloridum 250 mg
Pelogel;Wodny wyciąg borowinowy;Ludzki;;;-;Żel do stosowania na dziąsła;Wodny wyciąg borowinowy 80 g + Wodny wyciąg borowinowy 80 g
Lamitrin S;Lamotriginum;Ludzki;;;25 mg;Tabletki do rozgryzania i żucia / do sporządzania zawiesiny;Lamotriginum 25 mg
Cipramil;Citalopramum;Ludzki;;;20 mg;Tabletki powlekane;Citalopramum 20 mg
Clodivac;Vaccinum diphtheriae et tetani, antigenio minutum, adsorbatum Szczepionka przeciw błonicy i tężcowi, adsorbowana, o zmniejszonej zawartości antygenu;Ludzki;;;"nie mniej niż 40 j.m. toksoidu tężcowego i nie mniej niż 5 j.m. toksoidu błoniczego/0,5 ml; 1 dawka (0,5 ml)";Zawiesina do wstrzykiwań;Toksoid tężcowy nie mniej niż 40 j.m. + Toksoid błoniczy ad 10 ml
Singulair 5;Montelukastum;Ludzki;;;5 mg;Tabletki do rozgryzania i żucia;Montelukastum 5 mg
Exelon;Rivastigminum;Ludzki;;;3 mg;Kapsułki twarde;Rivastigminum 3 mg
FANHDI;Zespół ludzkiego czynnika krzepnięcia VIII i ludzkiego czynnika von Willebranda;Ludzki;;;"50 j.m./ml; 500 j.m. + 60 j.m./ml; 600 j.m.";Proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań i infuzji; 600 j.m. +  500 j.m.
Arthrotec;Diclofenacum natricum + Misoprostolum;Ludzki;;;50 mg + 0,2 mg;Tabletki;Diclofenacum natricum 50 mg + Misoprostolum 0.2 mg
Bisocard;Bisoprololum;Ludzki;;;10 mg;Tabletki powlekane;Bisoprololi fumaras 10 mg
Coffepirine Tabletki od bólu głowy;Acidum acetylsalicylicum + Coffeinum;Ludzki;;;450 mg + 50 mg;Tabletki;Coffeinum 50 mg + Acidum acetylsalicylicum 450 mg
Detimedac 100 mg;Dacarbazinum;Ludzki;;;100 mg;Proszek do sporządzania roztworu do wstrzykiwań lub infuzji;Dacarbazinum 100 mg
Oxycort A;Oxytetracyclinum + Hydrocortisoni acetas;Ludzki;;;(10 mg + 10 mg)/g;Maść do oczu;Oxytetracyclini hydrochloridum 10 mg + Hydrocortisoni acetas 10 mg
Nicergolin;Nicergolinum;Ludzki;;;10 mg;Tabletki;Nicergolinum 10 mg
Bisocard;Bisoprololum;Ludzki;;;5 mg;Tabletki powlekane;Bisoprololi fumaras 5 mg
